Invoice ID,Date,Time,Product line,Product_Name,Unit price,Quantity,Sales,Transaction_Type,Current_Stock
765-26-6951,2019-01-01,10:39:00 AM,Sports and travel,Kacamata Renang,50000,6,300000,OUT (Penjualan),94
746-04-1077,2019-01-01,11:36:00 AM,Food and beverages,Minyak Goreng 2L,32000,10,320000,OUT (Penjualan),90
271-77-8740,2019-01-01,11:40:00 AM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),94
133-14-7229,2019-01-01,11:43:00 AM,Health and beauty,Pasta Gigi Pepsodent,15000,2,30000,OUT (Penjualan),98
651-88-7328,2019-01-01,1:55:00 PM,Fashion accessories,Dompet Lipat,60000,9,540000,OUT (Penjualan),91
416-17-9926,2019-01-01,2:42:00 PM,Electronic accessories,Charger HP,45000,10,450000,OUT (Penjualan),90
530-90-9855,2019-01-01,2:47:00 PM,Home and lifestyle,Deterjen Rinso,22000,8,176000,OUT (Penjualan),92
556-97-7101,2019-01-01,3:51:00 PM,Electronic accessories,Powerbank 10000mAh,120000,2,240000,OUT (Penjualan),98
891-01-7034,2019-01-01,7:07:00 PM,Electronic accessories,Earphone TWS,150000,6,900000,OUT (Penjualan),94
770-42-8960,2019-01-01,7:31:00 PM,Food and beverages,Beras 5kg,65000,8,520000,OUT (Penjualan),92
493-65-6248,2019-01-01,7:48:00 PM,Sports and travel,Matras Yoga,85000,10,850000,OUT (Penjualan),84
182-52-7000,2019-01-01,8:26:00 PM,Sports and travel,Jas Hujan,65000,4,260000,OUT (Penjualan),96
244-08-0162,2019-01-02,1:00:00 PM,Health and beauty,Pasta Gigi Pepsodent,15000,10,150000,OUT (Penjualan),88
198-84-7132,2019-01-02,1:40:00 PM,Fashion accessories,Kaos Kaki Polos,15000,9,135000,OUT (Penjualan),91
712-39-0363,2019-01-02,3:24:00 PM,Food and beverages,Minyak Goreng 2L,32000,6,192000,OUT (Penjualan),84
345-68-9016,2019-01-02,4:19:00 PM,Sports and travel,Jas Hujan,65000,8,520000,OUT (Penjualan),88
504-35-8843,2019-01-02,4:57:00 PM,Sports and travel,Kacamata Renang,50000,1,50000,OUT (Penjualan),93
446-47-6729,2019-01-02,6:09:00 PM,Fashion accessories,Kaos Kaki Polos,15000,2,30000,OUT (Penjualan),89
744-09-5786,2019-01-02,6:50:00 PM,Electronic accessories,Earphone TWS,150000,6,900000,OUT (Penjualan),88
670-71-7306,2019-01-02,8:08:00 PM,Sports and travel,Matras Yoga,85000,6,510000,OUT (Penjualan),78
343-87-0864,2019-01-03,10:30:00 AM,Health and beauty,Shampo Clear,28000,1,28000,OUT (Penjualan),99
249-42-3782,2019-01-03,11:36:00 AM,Health and beauty,Skincare Wardah,55000,5,275000,OUT (Penjualan),95
749-24-1565,2019-01-03,12:02:00 PM,Health and beauty,Sabun Cair Lifebuoy,25000,9,225000,OUT (Penjualan),91
